iter	RMSE
0	601.8293261
1	541.3074742
2	493.5102217
3	456.1152966
4	423.4221865
5	405.2985059
6	387.6954253
7	369.6501907
8	358.4230781
9	350.0337915
10	338.0167974
11	327.476341
12	319.4529562
13	311.3397497
14	304.3083027
15	297.5015217
16	292.7967009
17	288.7783945
18	282.2925616
19	277.4833771
20	273.7713811
21	269.9286619
22	265.1554248
23	261.8602548
24	258.3607514
25	256.90233
26	253.3653639
27	250.932334
28	248.2356633
29	246.5351016
30	243.7711454
31	241.6853826
32	240.0446078
33	236.7219049
34	234.9795478
35	232.5878033
36	231.0468861
37	229.9233302
38	227.1300043
39	224.4163845
40	223.228333
41	221.904287
42	220.9153592
43	219.1271312
44	218.1243254
45	217.4828969
46	215.5722536
47	212.3389161
48	210.371571
49	209.2931913
50	207.6355657
51	205.0982965
52	204.55993
53	203.8865151
54	202.9998194
55	202.4555218
56	201.6457884
57	201.1794297
58	200.7623453
59	200.081496
60	199.5284855
61	198.4130109
62	197.1402254
63	196.7040571
64	194.6805012
65	194.2600849
66	192.5438765
67	192.1586228
68	191.7928892
69	191.2641924
70	190.4132612
71	189.1799366
72	188.412148
73	185.2896322
74	184.5038706
75	184.1087341
76	183.7373072
77	183.0626333
78	182.7052338
79	182.2696659
80	181.5190587
81	179.9152955
82	179.5695688
83	178.7577548
84	178.4588503
85	177.7023281
86	177.3599358
87	177.0463483
88	176.7657981
89	173.5260134
90	172.6251723
91	170.2852005
92	169.9349688
93	169.6448938
94	169.1898945
95	167.4105724
96	167.123142
97	166.8533842
98	166.453821
99	166.1827781
100	165.2075595
101	164.8517807
102	162.7621873
103	162.3382724
104	162.0610337
105	161.8017961
106	159.3957043
107	159.1380736
108	158.2809999
109	156.1036376
110	155.2227297
111	154.9813203
112	154.4570941
113	154.0884955
114	153.8616171
115	153.6309539
116	152.5386045
117	152.0356617
118	151.8106962
119	151.5840552
120	151.2764369
121	150.5141449
122	150.2980025
123	150.0852548
124	149.873054
125	149.3411862
126	149.0218322
127	148.7182266
128	148.5153428
129	148.3173961
130	148.1216321
131	147.9171798
132	147.7273987
133	146.6434685
134	146.4551761
135	146.2675844
136	145.4793535
137	145.2949945
138	145.1158524
139	143.4987807
140	143.2640686
141	143.0855202
142	142.9092859
143	142.2106986
144	141.1595665
145	140.9886726
146	140.7608444
147	140.5906648
148	140.2654816
149	139.4557938
150	139.2832339
151	138.8374615
152	138.5518869
153	137.6232054
154	137.0065443
155	136.0456132
156	135.7836848
157	135.6125781
158	135.4665717
159	134.6436771
160	134.4686435
161	134.3121798
162	134.165878
163	133.9496446
164	132.9925472
165	132.5281644
166	132.3685428
167	131.6433062
168	130.6268401
169	130.4717861
170	129.9656438
171	129.8226908
172	129.6547226
173	128.6740716
174	128.5378937
175	128.3944451
176	128.2539784
177	128.0474504
178	127.8535914
179	127.7224347
180	127.6015605
181	127.469611
182	127.3464485
183	126.5735313
184	126.4469373
185	126.3215298
186	126.1908987
187	126.068378
188	125.5977931
189	125.1315212
190	125.0143248
191	124.3057873
192	123.8053699
193	123.575519
194	123.1492968
195	122.5132946
196	122.3786722
197	121.1648102
198	121.0302368
199	120.3867176
200	120.2781671
201	119.9938631
202	119.8723792
203	119.2357251
204	119.1068924
205	118.8736992
206	118.3054803
207	117.8253233
208	117.2535456
209	116.843501
210	116.5600335
211	116.4279277
212	116.3129428
213	115.5880713
214	114.9591565
215	114.8296525
216	114.717632
217	114.545488
218	114.4254442
219	114.3158267
220	114.1937969
221	114.0344489
222	113.8582947
223	113.1355055
224	113.0415126
225	112.7365884
226	112.6273864
227	112.5232273
228	112.4312525
229	111.6607511
230	111.2360102
231	110.992534
232	110.8773805
233	110.7738049
234	110.6657534
235	110.2464693
236	110.1084533
237	109.9972915
238	109.8983422
239	109.7888462
240	109.6332087
241	109.533074
242	109.4265816
243	109.3462513
244	109.1968329
245	109.102112
246	109.0225173
247	108.9306393
248	108.8290407
249	108.7125444
250	108.6239802
251	108.2452887
252	108.1440154
253	107.4095566
254	107.3084762
255	107.2357284
256	107.1512897
257	106.9223715
258	106.4467988
259	106.3511209
260	106.2654902
261	106.1659356
262	106.0846831
263	105.7999572
264	105.7106588
265	105.0555501
266	104.7243002
267	104.6269396
268	104.5329467
269	104.431293
270	104.3491893
271	104.006691
272	103.917496
273	103.831413
274	103.5232174
275	103.4319337
276	102.638265
277	101.6203331
278	101.5372373
279	101.0780933
280	100.7996059
281	100.6172619
282	100.521713
283	100.063795
284	99.92855256
285	99.83668134
286	99.74450614
287	99.25405216
288	99.09344012
289	99.00354692
290	98.53696751
291	98.45747202
292	97.99040792
293	97.91211864
294	97.69071756
295	97.00122743
296	96.90932978
297	96.81950455
298	96.73469389
299	96.196109
300	95.9179529
301	95.85100948
302	95.77732065
303	95.57025021
304	95.49377111
305	95.40978071
306	95.21779862
307	95.1383193
308	95.06895746
309	94.98889632
310	94.32956161
311	94.08242974
312	93.82185297
313	93.72385209
314	93.59168524
315	93.51073249
316	93.43868394
317	93.27602738
318	93.0197275
319	92.93912111
320	92.87517074
321	92.53943471
322	92.25051782
323	92.1808254
324	92.10384962
325	92.02494077
326	91.95010492
327	91.60287276
328	91.53810996
329	91.46232499
330	91.39660877
331	91.3223089
332	90.70770193
333	89.99523176
334	89.92504632
335	89.85245755
336	89.78681521
337	89.72196448
338	88.89641671
339	88.81731493
340	88.56995342
341	88.4894798
342	88.01914915
343	87.95448492
344	87.88122013
345	87.81102368
346	87.67957204
347	87.62270495
348	87.52619069
349	86.8225652
350	86.74939308
351	86.45299251
352	85.94964658
353	85.87900869
354	85.82584943
355	85.41159648
356	85.3568269
357	85.28591703
358	85.12573271
359	85.05091655
360	84.98810383
361	84.75941444
362	84.47605922
363	84.40620102
364	84.35022345
365	84.27708311
366	84.12439318
367	84.04841352
368	83.50377671
369	83.02198185
370	82.96001402
371	82.90165834
372	82.83643932
373	82.38644946
374	82.19437294
375	81.84563272
376	81.77858681
377	81.68864326
378	81.62799996
379	81.54556443
380	81.15068701
381	80.80721623
382	80.74251472
383	80.4491526
384	80.22404063
385	80.16611239
386	80.1059824
387	80.05168367
388	79.73841899
389	79.6732006
390	79.62414035
391	79.46921997
392	79.24906939
393	79.18673861
394	79.12837456
395	79.07999586
396	79.0198222
397	78.96283842
398	78.80755794
399	78.2879293
400	78.23070268
401	78.16959396
402	77.80523147
403	77.75605817
404	77.45702223
405	77.40066046
406	77.34067659
407	77.11935811
408	77.06080932
409	77.01616457
410	76.68188605
411	76.62355477
412	76.37069908
413	76.31361092
414	76.26001144
415	76.00032692
416	75.94301814
417	75.89082961
418	75.84350061
419	75.503461
420	75.44679521
421	75.39071101
422	75.3419754
423	75.1147481
424	75.0580777
425	75.00916449
426	74.77019956
427	74.71687709
428	74.62668347
429	74.27219246
430	74.21779844
431	74.17335144
432	74.12121349
433	73.96452717
434	73.73985078
435	73.69137924
436	73.63863971
437	73.50442224
438	73.40807903
439	73.35688312
440	73.30999399
441	73.26525028
442	72.92643109
443	72.87920434
444	72.67807774
445	72.23065914
446	72.18174906
447	71.99926201
448	71.95478669
449	71.81764831
450	71.56434624
451	71.47367996
452	71.12582559
453	70.90351894
454	70.74202484
455	70.69103323
456	70.63932712
457	70.59620846
458	70.56246967
459	70.44882301
460	70.40011542
461	70.17808552
462	70.12983489
463	70.04023308
464	70.00113752
465	69.95823965
466	69.81673225
467	69.77418656
468	69.72855858
469	69.68163907
470	69.62319822
471	69.58235254
472	69.42488503
473	69.37624346
474	69.30566129
475	68.97280713
476	68.93506811
477	68.88930234
478	68.84805948
479	68.80273853
480	68.67527547
481	68.57135546
482	68.52563366
483	68.48099261
484	68.18453559
485	68.07252699
486	68.0345549
487	67.94404512
488	67.87508329
489	67.52588232
490	67.48118895
491	67.07394973
492	67.03487682
493	66.99046579
494	66.95196652
495	66.86048305
496	66.71474612
497	66.60349336
498	66.31579469
499	66.14727392
