iter	Passed	Remaining
0	2	1364
1	5	1275
2	7	1218
3	10	1278
4	13	1315
5	15	1314
6	19	1338
7	21	1324
8	23	1297
9	26	1294
10	28	1280
11	31	1261
12	33	1246
13	35	1225
14	37	1213
15	39	1199
16	41	1184
17	43	1172
18	45	1161
19	47	1151
20	49	1135
21	51	1123
22	53	1111
23	55	1100
24	57	1085
25	59	1080
26	61	1070
27	62	1057
28	64	1049
29	66	1040
30	68	1030
31	69	1021
32	71	1014
33	73	1006
34	75	1001
35	77	995
36	79	988
37	80	980
38	82	974
39	84	968
40	86	965
41	88	962
42	90	957
43	91	952
44	93	946
45	95	940
46	97	935
47	98	931
48	100	928
49	102	923
50	104	921
51	106	919
52	108	914
53	110	910
54	112	909
55	114	904
56	115	901
57	117	897
58	119	893
59	121	889
60	123	886
61	125	883
62	126	879
63	128	875
64	130	874
65	132	872
66	134	868
67	136	865
68	138	862
69	139	858
70	141	854
71	143	851
72	145	850
73	147	849
74	149	846
75	151	843
76	152	839
77	154	836
78	156	834
79	158	832
80	160	830
81	162	829
82	164	826
83	166	825
84	168	822
85	170	819
86	172	816
87	173	814
88	175	812
89	177	809
90	179	808
91	181	806
92	183	805
93	186	803
94	187	800
95	189	798
96	191	795
97	193	794
98	195	791
99	197	788
100	199	786
101	201	784
102	202	781
103	205	780
104	207	778
105	208	776
106	210	773
107	212	771
108	214	768
109	216	766
110	218	764
111	220	763
112	222	761
113	224	760
114	226	758
115	231	765
116	234	768
117	237	768
118	239	768
119	242	767
120	244	766
121	247	765
122	249	763
123	251	762
124	254	762
125	256	762
126	258	760
127	261	759
128	263	757
129	265	755
130	267	753
131	269	751
132	271	749
133	273	747
134	275	744
135	277	741
136	279	740
137	281	738
138	283	736
139	285	733
140	287	731
141	289	729
142	291	726
143	293	724
144	295	722
145	297	720
146	298	717
147	300	715
148	302	713
149	304	710
150	306	709
151	308	706
152	310	704
153	312	703
154	315	701
155	317	699
156	319	697
157	321	695
158	322	692
159	324	690
160	326	688
161	328	685
162	330	682
163	332	680
164	334	678
165	336	676
166	338	674
167	340	672
168	342	670
169	344	667
170	345	665
171	347	663
172	349	660
173	351	658
174	353	656
175	355	653
176	357	651
177	359	649
178	360	647
179	362	644
180	364	642
181	366	639
182	368	638
183	370	636
184	372	634
185	374	632
186	376	630
187	378	627
188	380	625
189	382	624
190	384	621
191	386	619
192	388	617
193	390	615
194	392	613
195	394	611
196	396	609
197	398	607
198	400	605
199	402	603
200	404	601
201	406	599
202	408	597
203	410	595
204	412	593
205	414	591
206	416	589
207	418	587
208	420	585
209	422	583
210	424	581
211	426	579
212	428	577
213	430	575
214	432	573
215	434	571
216	436	569
217	438	567
218	441	566
219	443	564
220	449	567
221	452	567
222	456	566
223	459	565
224	462	565
225	465	563
226	467	562
227	469	560
228	472	558
229	474	557
230	477	555
231	479	553
232	481	551
233	483	549
234	485	547
235	487	545
236	489	542
237	490	540
238	493	538
239	495	536
240	497	534
241	499	532
242	501	530
243	503	527
244	505	525
245	507	523
246	509	521
247	511	519
248	513	517
249	515	515
250	517	512
251	519	510
252	521	508
253	523	506
254	524	504
255	526	501
256	528	499
257	530	497
258	532	495
259	534	493
260	536	491
261	538	488
262	539	486
263	541	484
264	543	481
265	545	479
266	547	477
267	548	475
268	550	472
269	552	470
270	554	468
271	556	466
272	558	464
273	560	462
274	562	460
275	564	458
276	566	456
277	568	454
278	570	451
279	572	449
280	574	447
281	576	445
282	578	443
283	580	441
284	582	439
285	584	437
286	586	435
287	588	433
288	590	431
289	592	429
290	594	427
291	596	425
292	598	423
293	600	421
294	602	419
295	604	416
296	607	415
297	609	413
298	611	411
299	613	409
300	616	407
301	618	405
302	620	403
303	622	401
304	624	399
305	627	397
306	629	395
307	631	393
308	634	392
309	636	390
310	639	388
311	641	386
312	643	384
313	644	382
314	646	379
315	648	377
316	650	375
317	652	373
318	654	371
319	656	369
320	658	367
321	660	365
322	662	363
323	664	361
324	667	359
325	669	357
326	671	355
327	673	353
328	675	351
329	677	348
330	679	346
331	681	344
332	683	342
333	685	340
334	687	338
335	689	336
336	691	334
337	693	332
338	695	330
339	697	328
340	699	326
341	701	324
342	703	321
343	705	319
344	707	317
345	709	315
346	710	313
347	712	311
348	714	309
349	716	307
350	718	305
351	720	302
352	722	300
353	724	298
354	726	296
355	728	294
356	730	292
357	732	290
358	734	288
359	735	286
360	737	284
361	739	281
362	741	279
363	743	277
364	745	275
365	746	273
366	748	271
367	750	269
368	752	267
369	754	265
370	756	262
371	757	260
372	759	258
373	761	256
374	763	254
375	765	252
376	767	250
377	769	248
378	771	246
379	773	244
380	775	242
381	776	239
382	778	237
383	780	235
384	782	233
385	784	231
386	786	229
387	788	227
388	790	225
389	791	223
390	793	221
391	795	219
392	797	217
393	799	215
394	801	213
395	803	211
396	805	209
397	807	207
398	809	204
399	811	202
400	813	200
401	815	198
402	817	196
403	819	194
404	821	192
405	823	190
406	825	188
407	827	186
408	830	184
409	833	182
410	836	181
411	838	179
412	841	177
413	844	175
414	847	173
415	849	171
416	852	169
417	854	167
418	857	165
419	859	163
420	861	161
421	863	159
422	865	157
423	867	155
424	869	153
425	871	151
426	873	149
427	875	147
428	877	145
429	879	143
430	881	141
431	882	138
432	884	136
